Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Division,League
67,"Saturday, Jun 10",boxscore,TBR,,TEX,L,4,8,,47-20,1,up 5.5,Eovaldi,Bradley,,2:56,D,18932,.81,-,,AL East,AL
68,"Sunday, Jun 11",boxscore,TBR,,TEX,W,7,3,,48-20,1,up 5.5,McClanahan,Pérez,,2:22,D,23069,.86,+,,AL East,AL
69,"Monday, Jun 12",boxscore,TBR,@,OAK,L,3,4,,48-21,1,up 5.0,Kaprielian,Eflin,Waldichuk,2:31,N,4848,.78,-,,AL East,AL
70,"Tuesday, Jun 13",boxscore,TBR,@,OAK,L,1,2,,48-22,1,up 4.0,Harris,Poche,May,2:19,N,27759,.85,--,,AL East,AL
71,"Wednesday, Jun 14",boxscore,TBR,@,OAK,W,6,3,,49-22,1,up 5.0,Glasnow,Medina,Adam,2:56,N,7055,.90,+,,AL East,AL
72,"Thursday, Jun 15",boxscore,TBR,@,OAK,W,4,3,,50-22,1,up 5.0,Stephenson,Pruitt,Fairbanks,2:55,D,7133,.83,++,,AL East,AL
73,"Friday, Jun 16",boxscore,TBR,@,SDP,W,6,2,,51-22,1,up 6.0,McClanahan,Darvish,Fairbanks,2:46,N,42367,.78,+++,,AL East,AL
74,"Saturday, Jun 17",boxscore,TBR,@,SDP,L,0,2,,51-23,1,up 6.0,Snell,Eflin,Hader,2:24,D,43180,.70,-,,AL East,AL
75,"Sunday, Jun 18",boxscore,TBR,@,SDP,L,4,5,,51-24,1,up 5.0,Musgrove,Chirinos,Hader,3:00,D,44404,.72,--,,AL East,AL
76,"Tuesday, Jun 20",boxscore,TBR,,BAL,L,6,8,,51-25,1,up 4.0,Bradish,Glasnow,Bautista,3:11,N,20906,1.26,---,,AL East,AL
77,"Wednesday, Jun 21",boxscore,TBR,,BAL,W,7,2,,52-25,1,up 5.0,Bradley,Wells,,2:35,D,19493,1.33,+,,AL East,AL
78,"Thursday, Jun 22",boxscore,TBR,,KCR,L,5,6,,52-26,1,up 4.5,Chapman,Fairbanks,Barlow,3:01,N,10436,.85,-,,AL East,AL
79,"Friday, Jun 23",boxscore,TBR,,KCR,W,11,3,,53-26,1,up 5.5,Eflin,Greinke,,2:45,N,16189,.85,+,,AL East,AL
80,"Saturday, Jun 24",boxscore,TBR,,KCR,L,4,9,,53-27,1,up 4.5,Lyles,Chirinos,,2:18,D,20884,.77,-,,AL East,AL
81,"Sunday, Jun 25",boxscore,TBR,,KCR,W,3,1,,54-27,1,up 4.5,Poche,Clarke,Fairbanks,2:43,D,18442,.87,+,,AL East,AL
82,"Tuesday, Jun 27",boxscore,TBR,@,ARI,L,4,8,,54-28,1,up 4.0,Gallen,Bradley,,2:26,N,23351,.81,-,,AL East,AL
83,"Wednesday, Jun 28",boxscore,TBR,@,ARI,W,3,2,,55-28,1,up 5.0,Poche,McGough,Fairbanks,2:12,N,20858,.87,+,,AL East,AL
84,"Thursday, Jun 29",boxscore,TBR,@,ARI,W,6,1,,56-28,1,up 5.5,Chirinos,Pfaadt,,2:36,D,22127,.79,++,,AL East,AL
85,"Friday, Jun 30",boxscore,TBR,@,SEA,W,15,4,,57-28,1,up 6.5,Kelly,Muñoz,,3:10,N,37063,.75,+++,,AL East,AL
86,"Saturday, Jul 1",boxscore,TBR,@,SEA,L,3,8,,57-29,1,up 6.5,Kirby,Glasnow,Sewald,2:39,D,35546,.69,-,,AL East,AL
87,"Sunday, Jul 2",boxscore,TBR,@,SEA,L,6,7,,57-30,1,up 5.5,Muñoz,Adam,Sewald,2:42,D,36541,.70,--,,AL East,AL
88,"Tuesday, Jul 4",boxscore,TBR,,PHI,L,1,3,,57-31,1,up 6.0,Nola,Eflin,Kimbrel,2:17,D,22665,.73,---,,AL East,AL
89,"Wednesday, Jul 5",boxscore,TBR,,PHI,L,4,8,,57-32,1,up 5.0,Walker,Chirinos,,2:40,N,18208,.84,----,,AL East,AL
90,"Thursday, Jul 6",boxscore,TBR,,PHI,L,1,3,11,57-33,1,up 4.0,Strahm,Thompson,,2:47,N,17060,.83,-----,,AL East,AL
91,"Friday, Jul 7",boxscore,TBR,,ATL,L,1,2,,57-34,1,up 3.0,Morton,Glasnow,Iglesias,2:19,N,25025,.96,------,,AL East,AL
92,"Saturday, Jul 8",boxscore,TBR,,ATL,L,1,6,,57-35,1,up 2.0,Strider,Bradley,,2:46,N,25025,1.03,-------,,AL East,AL
93,"Sunday, Jul 9",boxscore,TBR,,ATL,W,10,4,,58-35,1,up 2.0,Eflin,Elder,,2:29,D,25025,1.10,+,,AL East,AL
94,"Saturday, Jul 15 (1)",boxscore,TBR,@,KCR,W,6,1,,59-35,1,up 2.0,Glasnow,Marsh,,2:24,D,15428,1.04,++,,AL East,AL
95,"Saturday, Jul 15 (2)",boxscore,TBR,@,KCR,W,4,2,,60-35,1,up 2.0,Poche,Hernández,Fairbanks,2:20,N,18052,1.01,+++,,AL East,AL
96,"Sunday, Jul 16",boxscore,TBR,@,KCR,L,4,8,,60-36,1,up 1.0,Singer,Eflin,,1:54,D,15632,1.00,-,,AL East,AL
97,"Monday, Jul 17",boxscore,TBR,@,TEX,L-wo,2,3,,60-37,1,up 1.0,Chapman,Fairbanks,,2:07,N,29901,1.07,--,,AL East,AL
98,"Tuesday, Jul 18",boxscore,TBR,@,TEX,L,3,5,,60-38,1,up 1.0,Eovaldi,Bradley,Smith,2:37,N,34677,1.11,---,,AL East,AL
99,"Wednesday, Jul 19",boxscore,TBR,@,TEX,L,1,5,,60-39,1,Tied,Burke,Littell,,2:38,D,31591,1.12,----,,AL East,AL
100,"Thursday, Jul 20",boxscore,TBR,,BAL,L,3,4,10,60-40,2,1.0,Bautista,Stephenson,,2:49,N,20203,1.70,-----,,AL East,AL
101,"Friday, Jul 21",boxscore,TBR,,BAL,W,3,0,,61-40,1,Tied,Eflin,Bradish,Fairbanks,2:09,N,19703,1.74,+,,AL East,AL
102,"Saturday, Jul 22",boxscore,TBR,,BAL,L,5,6,,61-41,2,1.0,Pérez,Fairbanks,Bautista,2:56,D,25025,1.78,-,,AL East,AL
103,"Sunday, Jul 23",boxscore,TBR,,BAL,L,3,5,,61-42,2,2.0,Baumann,Poche,Bautista,2:48,D,23440,1.81,--,,AL East,AL
104,"Tuesday, Jul 25",boxscore,TBR,,MIA,W,4,1,,62-42,2,1.5,Glasnow,Cabrera,Fairbanks,2:24,N,20508,1.26,+,,AL East,AL
105,"Wednesday, Jul 26",boxscore,TBR,,MIA,L,1,7,,62-43,2,1.5,Alcantara,Eflin,,2:13,D,20971,1.25,-,,AL East,AL
1,"Thursday, Mar 30",boxscore,TOR,@,STL,W,10,9,,1-0,1,Tied,García,Helsley,Romano,3:38,D,47649,.87,+,,AL East,AL
2,"Saturday, Apr 1",boxscore,TOR,@,STL,L,1,4,,1-1,2,1.0,Flaherty,Gausman,Helsley,2:31,D,44461,.93,-,,AL East,AL
3,"Sunday, Apr 2",boxscore,TOR,@,STL,L,4,9,,1-2,4,2.0,Montgomery,Bassitt,,2:29,D,45525,.88,--,,AL East,AL
4,"Monday, Apr 3",boxscore,TOR,@,KCR,L,5,9,,1-3,5,3.0,Singer,Berríos,,2:37,N,10810,.89,---,,AL East,AL
5,"Tuesday, Apr 4",boxscore,TOR,@,KCR,W,4,1,,2-3,4,3.0,Kikuchi,Bubic,Romano,2:32,N,12123,.85,+,,AL East,AL
6,"Wednesday, Apr 5",boxscore,TOR,@,KCR,W,3,0,,3-3,3,3.0,Manoah,Greinke,Romano,2:17,N,10015,.88,++,,AL East,AL
7,"Thursday, Apr 6",boxscore,TOR,@,KCR,W,6,3,,4-3,3,2.5,Gausman,Lyles,Cimber,2:30,D,10401,.92,+++,,AL East,AL
8,"Friday, Apr 7",boxscore,TOR,@,LAA,W,4,3,,5-3,2,2.5,Bassitt,Herget,Romano,2:33,N,44735,.99,++++,,AL East,AL
9,"Saturday, Apr 8",boxscore,TOR,@,LAA,L,5,9,,5-4,3,3.5,Barria,Berríos,,2:40,N,44534,1.02,-,,AL East,AL
10,"Sunday, Apr 9",boxscore,TOR,@,LAA,W,12,11,10,6-4,3,3.5,Romano,Estévez,Mayza,3:31,D,31092,1.01,+,,AL East,AL
11,"Tuesday, Apr 11",boxscore,TOR,,DET,W,9,3,,7-4,2,4.0,Pop,Manning,,2:29,N,42053,1.00,++,,AL East,AL
12,"Wednesday, Apr 12",boxscore,TOR,,DET,W-wo,4,3,10,8-4,2,4.0,Romano,Shreve,,2:40,N,35300,.99,+++,,AL East,AL
13,"Thursday, Apr 13",boxscore,TOR,,DET,L,1,3,,8-5,2,5.0,Turnbull,Bassitt,Lange,2:53,N,26192,1.03,-,,AL East,AL
14,"Friday, Apr 14",boxscore,TOR,,TBR,W,6,3,,9-5,2,4.0,Berríos,Rasmussen,Romano,2:37,N,34822,1.10,+,,AL East,AL
15,"Saturday, Apr 15",boxscore,TOR,,TBR,W,5,2,,10-5,2,3.0,Kikuchi,Kelley,Romano,2:34,D,41679,1.18,++,,AL East,AL
16,"Sunday, Apr 16",boxscore,TOR,,TBR,L,1,8,,10-6,2,4.0,McClanahan,Manoah,,2:40,D,39179,1.21,-,,AL East,AL
17,"Monday, Apr 17",boxscore,TOR,@,HOU,L,2,9,,10-7,3,4.0,Javier,Gausman,,2:45,N,30873,1.06,--,,AL East,AL
18,"Tuesday, Apr 18",boxscore,TOR,@,HOU,W,4,2,,11-7,2,4.0,Bassitt,Urquidy,Romano,2:47,N,32602,1.04,+,,AL East,AL
19,"Wednesday, Apr 19",boxscore,TOR,@,HOU,L,1,8,,11-8,4,5.0,Garcia,Berríos,,2:24,N,40545,1.04,-,,AL East,AL
20,"Friday, Apr 21",boxscore,TOR,@,NYY,W,6,1,,12-8,3,5.0,Kikuchi,Germán,,2:30,N,39025,1.07,+,,AL East,AL
21,"Saturday, Apr 22",boxscore,TOR,@,NYY,L-wo,2,3,,12-9,4,6.0,Cordero,Romano,,2:35,D,43223,1.09,-,,AL East,AL
22,"Sunday, Apr 23",boxscore,TOR,@,NYY,W,5,1,,13-9,3,6.0,Gausman,Schmidt,,2:23,D,39293,1.06,+,,AL East,AL
23,"Monday, Apr 24",boxscore,TOR,,CHW,W,5,2,,14-9,3,6.0,Bassitt,Lynn,Romano,2:40,N,26293,1.00,++,,AL East,AL
24,"Tuesday, Apr 25",boxscore,TOR,,CHW,W,7,0,,15-9,3,5.0,Berríos,Clevinger,,2:24,N,28917,1.02,+++,,AL East,AL
25,"Wednesday, Apr 26",boxscore,TOR,,CHW,W,8,0,,16-9,3,4.0,Kikuchi,Kopech,,2:32,D,35069,1.05,++++,,AL East,AL
26,"Friday, Apr 28",boxscore,TOR,,SEA,W,3,2,,17-9,3,4.5,Mayza,Gott,Romano,2:28,N,41414,1.08,+++++,,AL East,AL
27,"Saturday, Apr 29",boxscore,TOR,,SEA,W-wo,1,0,10,18-9,2,4.5,Swanson,Gott,,2:21,D,41475,1.06,++++++,,AL East,AL
28,"Sunday, Apr 30",boxscore,TOR,,SEA,L,8,10,10,18-10,3,4.5,Sewald,Pop,Brash,3:10,D,40158,1.07,-,,AL East,AL
29,"Monday, May 1",boxscore,TOR,@,BOS,L-wo,5,6,,18-11,3,5.0,Winckowski,Romano,,2:46,N,27438,1.14,--,,AL East,AL
30,"Tuesday, May 2",boxscore,TOR,@,BOS,L,6,7,,18-12,3,6.0,Bleier,Swanson,Winckowski,2:38,N,27721,1.12,---,,AL East,AL
31,"Wednesday, May 3",boxscore,TOR,@,BOS,L,3,8,,18-13,3,7.0,Pivetta,Manoah,,3:13,N,27963,1.07,----,,AL East,AL
32,"Thursday, May 4",boxscore,TOR,@,BOS,L,5,11,,18-14,4,8.0,Bello,Gausman,,2:53,N,30173,1.06,-----,,AL East,AL
33,"Friday, May 5",boxscore,TOR,@,PIT,W,4,0,,19-14,4,8.0,Bassitt,Hill,,2:25,N,24810,.88,+,,AL East,AL
34,"Saturday, May 6",boxscore,TOR,@,PIT,W,8,2,,20-14,4,7.0,Berríos,Oviedo,,2:31,N,34882,.92,++,,AL East,AL
35,"Sunday, May 7",boxscore,TOR,@,PIT,W,10,1,,21-14,3,7.0,Kikuchi,Contreras,,2:46,D,21655,.93,+++,,AL East,AL
36,"Tuesday, May 9",boxscore,TOR,@,PHI,L,4,8,,21-15,3,7.5,Nola,Manoah,,3:10,N,44544,.98,-,,AL East,AL
37,"Wednesday, May 10",boxscore,TOR,@,PHI,L-wo,1,2,10,21-16,4,7.5,Kimbrel,Mayza,,2:56,D,31758,.97,--,,AL East,AL
38,"Friday, May 12",boxscore,TOR,,ATL,W,3,0,,22-16,3,7.0,Bassitt,Strider,,2:12,N,35047,.95,+,,AL East,AL
39,"Saturday, May 13",boxscore,TOR,,ATL,W,5,2,,23-16,3,6.0,Swanson,Minter,Romano,2:50,D,41341,.98,++,,AL East,AL
40,"Sunday, May 14",boxscore,TOR,,ATL,W-wo,6,5,,24-16,3,6.0,Pearson,Iglesias,,3:04,D,40895,.95,+++,,AL East,AL
41,"Monday, May 15",boxscore,TOR,,NYY,L,4,7,,24-17,3,6.5,Brito,Manoah,King,2:47,N,28810,1.12,-,,AL East,AL
42,"Tuesday, May 16",boxscore,TOR,,NYY,L,3,6,,24-18,3,7.5,Weber,Swanson,Peralta,3:02,N,35112,1.12,--,,AL East,AL
43,"Wednesday, May 17",boxscore,TOR,,NYY,W-wo,3,0,10,25-18,3,6.5,Romano,Peralta,,3:10,N,27431,1.12,+,,AL East,AL
44,"Thursday, May 18",boxscore,TOR,,NYY,L,2,4,,25-19,3,6.5,Cortes,Berríos,Marinaccio,2:29,N,33290,1.08,-,,AL East,AL
45,"Friday, May 19",boxscore,TOR,,BAL,L,2,6,,25-20,4,7.5,Gibson,Kikuchi,,2:49,N,32485,1.16,--,,AL East,AL
46,"Saturday, May 20",boxscore,TOR,,BAL,L,5,6,10,25-21,5,8.5,Bautista,García,,3:32,D,41611,1.02,---,,AL East,AL
47,"Sunday, May 21",boxscore,TOR,,BAL,L,3,8,11,25-22,5,8.5,Baumann,García,,3:31,D,41643,.98,----,,AL East,AL
48,"Monday, May 22",boxscore,TOR,@,TBR,L,4,6,,25-23,5,9.5,Fleming,Bassitt,Fairbanks,2:32,N,8857,.90,-----,,AL East,AL
49,"Tuesday, May 23",boxscore,TOR,@,TBR,W,20,1,,26-23,4,8.5,Berríos,Bradley,,2:31,N,11906,.87,+,,AL East,AL
50,"Wednesday, May 24",boxscore,TOR,@,TBR,L,3,7,,26-24,4,9.5,McClanahan,Kikuchi,,2:25,N,8699,.92,-,,AL East,AL
51,"Thursday, May 25",boxscore,TOR,@,TBR,L,3,6,,26-25,5,10.5,Eflin,Manoah,Poche,2:36,D,10736,.86,--,,AL East,AL
52,"Friday, May 26",boxscore,TOR,@,MIN,W,3,1,,27-25,5,10.5,Gausman,Varland,Romano,2:46,N,25061,.74,+,,AL East,AL
53,"Saturday, May 27",boxscore,TOR,@,MIN,L,7,9,,27-26,5,10.5,López,Bassitt,Stewart,2:50,D,29111,.77,-,,AL East,AL
54,"Sunday, May 28",boxscore,TOR,@,MIN,W,3,0,,28-26,5,10.5,Berríos,Ober,Romano,2:47,D,31025,.72,+,,AL East,AL
55,"Tuesday, May 30",boxscore,TOR,,MIL,W,7,2,,29-26,4,9.0,Kikuchi,Houser,,2:31,N,32930,.74,++,,AL East,AL
56,"Wednesday, May 31",boxscore,TOR,,MIL,L,2,4,,29-27,4,10.0,Teheran,Manoah,Williams,2:44,N,42205,.77,-,,AL East,AL
57,"Thursday, Jun 1",boxscore,TOR,,MIL,W,3,1,,30-27,4,9.5,Gausman,Peralta,Romano,2:20,D,42059,.74,+,,AL East,AL
58,"Friday, Jun 2",boxscore,TOR,@,NYM,W,3,0,,31-27,4,9.0,Bassitt,Verlander,Romano,2:36,N,42637,.79,++,,AL East,AL
59,"Saturday, Jun 3",boxscore,TOR,@,NYM,W,2,1,,32-27,4,8.5,Pearson,Robertson,Swanson,2:48,D,37704,.85,+++,,AL East,AL
60,"Sunday, Jun 4",boxscore,TOR,@,NYM,W,6,4,,33-27,4,8.5,Pearson,Leone,Romano,2:47,D,42169,.91,++++,,AL East,AL
61,"Monday, Jun 5",boxscore,TOR,,HOU,L,4,11,,33-28,4,9.5,Bielak,Manoah,,3:01,N,23982,1.01,-,,AL East,AL
62,"Tuesday, Jun 6",boxscore,TOR,,HOU,W,5,1,,34-28,4,9.5,Gausman,Brown,,2:23,N,30079,.94,+,,AL East,AL
63,"Wednesday, Jun 7",boxscore,TOR,,HOU,W,3,2,,35-28,4,9.5,Bassitt,Neris,Romano,2:03,N,26724,.96,++,,AL East,AL
64,"Thursday, Jun 8",boxscore,TOR,,HOU,W,3,2,,36-28,4,9.5,Berríos,Valdez,Romano,2:34,N,28284,1.01,+++,,AL East,AL
65,"Friday, Jun 9",boxscore,TOR,,MIN,L,2,3,10,36-29,4,10.5,Duran,Cimber,,2:59,N,35222,.92,-,,AL East,AL
66,"Saturday, Jun 10",boxscore,TOR,,MIN,L,4,9,,36-30,4,10.5,López,Cimber,,2:44,D,41990,.90,--,,AL East,AL
67,"Sunday, Jun 11",boxscore,TOR,,MIN,W,7,6,,37-30,4,10.5,Pearson,Pagán,Romano,3:05,D,41673,.90,+,,AL East,AL
68,"Tuesday, Jun 13",boxscore,TOR,@,BAL,L,6,11,,37-31,4,10.0,Kremer,Bassitt,,3:10,N,16018,1.02,-,,AL East,AL
69,"Wednesday, Jun 14",boxscore,TOR,@,BAL,W,3,1,,38-31,4,10.0,Berríos,Bradish,Romano,2:35,N,16083,1.00,+,,AL East,AL
70,"Thursday, Jun 15",boxscore,TOR,@,BAL,L,2,4,,38-32,4,11.0,Wells,García,Bautista,2:45,D,22555,1.02,-,,AL East,AL
71,"Friday, Jun 16",boxscore,TOR,@,TEX,W,2,1,,39-32,4,11.0,Gausman,Pérez,Romano,2:28,N,34308,.90,+,,AL East,AL
72,"Saturday, Jun 17",boxscore,TOR,@,TEX,L,2,4,,39-33,4,11.0,Dunning,Richards,Smith,2:37,D,39383,.94,-,,AL East,AL
73,"Sunday, Jun 18",boxscore,TOR,@,TEX,L,7,11,,39-34,4,11.0,King,Pearson,,3:08,D,38515,.93,--,,AL East,AL
74,"Monday, Jun 19",boxscore,TOR,@,MIA,L,0,11,,39-35,4,11.5,Brazoban,Berríos,,2:42,N,12226,.82,---,,AL East,AL
75,"Tuesday, Jun 20",boxscore,TOR,@,MIA,W,2,0,,40-35,4,10.5,García,Scott,Romano,2:27,N,9809,.79,+,,AL East,AL
76,"Wednesday, Jun 21",boxscore,TOR,@,MIA,W,6,3,,41-35,4,10.5,Gausman,Alcantara,Romano,2:27,D,15701,.83,++,,AL East,AL
77,"Friday, Jun 23",boxscore,TOR,,OAK,L,4,5,,41-36,4,11.0,Erceg,Romano,May,2:27,N,34988,.88,-,,AL East,AL
78,"Saturday, Jun 24",boxscore,TOR,,OAK,W,7,3,,42-36,4,10.0,Berríos,Fujinami,Romano,2:43,D,41720,.89,+,,AL East,AL
79,"Sunday, Jun 25",boxscore,TOR,,OAK,W,12,1,,43-36,4,10.0,Kikuchi,Medina,,2:36,D,41069,.93,++,,AL East,AL
80,"Tuesday, Jun 27",boxscore,TOR,,SFG,L,0,3,,43-37,4,10.0,Wood,Gausman,Doval,2:45,N,36004,.93,-,,AL East,AL
81,"Wednesday, Jun 28",boxscore,TOR,,SFG,W,6,1,,44-37,4,10.0,Francis,Webb,,2:11,N,36685,.89,+,,AL East,AL
82,"Thursday, Jun 29",boxscore,TOR,,SFG,W,2,1,,45-37,4,10.0,Bassitt,Winn,Romano,2:15,N,27761,.92,++,,AL East,AL
83,"Friday, Jun 30",boxscore,TOR,,BOS,L,0,5,,45-38,4,11.0,Paxton,Berríos,,2:30,N,37218,1.03,-,,AL East,AL
84,"Saturday, Jul 1",boxscore,TOR,,BOS,L,6,7,,45-39,4,11.0,Crawford,Kikuchi,Jansen,3:06,D,41813,1.02,--,,AL East,AL
85,"Sunday, Jul 2",boxscore,TOR,,BOS,L,4,5,,45-40,4,11.0,Martin,Romano,Jacques,2:59,D,41455,.99,---,,AL East,AL
86,"Tuesday, Jul 4",boxscore,TOR,@,CHW,W,4,3,,46-40,4,10.0,Pearson,Kelly,Romano,2:43,N,32607,.87,+,,AL East,AL
87,"Thursday, Jul 6 (1)",boxscore,TOR,@,CHW,W,6,2,11,47-40,3,8.0,Romano,Bummer,García,3:05,N,,.94,++,,AL East,AL
88,"Thursday, Jul 6 (2)",boxscore,TOR,@,CHW,W,5,4,,48-40,3,8.0,Jackson,Padilla,Pearson,2:33,N,20258,1.01,+++,,AL East,AL
89,"Friday, Jul 7",boxscore,TOR,@,DET,W,12,2,,49-40,3,7.0,Manoah,Faedo,,2:51,N,30029,1.03,++++,,AL East,AL
90,"Saturday, Jul 8",boxscore,TOR,@,DET,L,0,2,,49-41,3,7.0,Manning,Gausman,Lange,2:21,D,30621,1.12,-,,AL East,AL
91,"Sunday, Jul 9",boxscore,TOR,@,DET,W,4,3,10,50-41,3,7.0,García,Cisnero,Romano,2:53,D,30077,1.05,+,,AL East,AL
92,"Friday, Jul 14",boxscore,TOR,,ARI,W,7,2,,51-41,3,6.5,Richards,Nelson,,2:55,N,38617,1.05,++,,AL East,AL
93,"Saturday, Jul 15",boxscore,TOR,,ARI,W,5,2,,52-41,3,7.0,Bassitt,Gallen,García,2:36,D,42328,1.09,+++,,AL East,AL
94,"Sunday, Jul 16",boxscore,TOR,,ARI,W,7,5,,53-41,3,6.0,Jackson,Henry,Swanson,3:09,D,41794,1.05,++++,,AL East,AL
95,"Tuesday, Jul 18",boxscore,TOR,,SDP,L,1,9,,53-42,3,5.5,Musgrove,Manoah,,3:02,N,42680,1.11,-,,AL East,AL
96,"Wednesday, Jul 19",boxscore,TOR,,SDP,L,0,2,,53-43,3,5.5,Darvish,Berríos,Hader,2:47,N,42948,1.11,--,,AL East,AL
97,"Thursday, Jul 20",boxscore,TOR,,SDP,W,4,0,,54-43,3,5.5,Bassitt,Snell,,2:53,D,43196,1.14,+,,AL East,AL
98,"Friday, Jul 21",boxscore,TOR,@,SEA,L-wo,2,3,,54-44,3,5.5,Sewald,Romano,,2:57,N,42352,1.24,-,,AL East,AL
99,"Saturday, Jul 22",boxscore,TOR,@,SEA,L,8,9,,54-45,3,6.5,Campbell,Pearson,Topa,2:54,D,44921,1.27,--,,AL East,AL
100,"Sunday, Jul 23",boxscore,TOR,@,SEA,W,4,3,,55-45,3,6.5,Mayza,Woo,Romano,2:59,D,42430,1.22,+,,AL East,AL
101,"Monday, Jul 24",boxscore,TOR,@,LAD,W,6,3,11,56-45,3,6.5,Jackson,Bickford,Romano,3:28,N,47731,1.12,++,,AL East,AL
102,"Tuesday, Jul 25",boxscore,TOR,@,LAD,L-wo,7,8,10,56-46,3,6.5,Graterol,White,,3:26,N,47069,1.16,-,,AL East,AL
103,"Wednesday, Jul 26",boxscore,TOR,@,LAD,W,8,1,,57-46,3,5.5,Kikuchi,Gonsolin,,2:54,D,46667,1.19,+,,AL East,AL
1,"Thursday, Mar 30",boxscore,BOS,,BAL,L,9,10,,0-1,5,1.0,Gibson,Kluber,Bautista,3:10,D,36049,.98,-,,AL East,AL
2,"Saturday, Apr 1",boxscore,BOS,,BAL,W-wo,9,8,,1-1,2,1.0,Jansen,Bautista,,3:04,D,29062,.92,+,,AL East,AL
3,"Sunday, Apr 2",boxscore,BOS,,BAL,W,9,5,,2-1,2,1.0,Houck,Irvin,,2:44,D,27886,.97,++,,AL East,AL
4,"Monday, Apr 3",boxscore,BOS,,PIT,L,6,7,,2-2,3,2.0,Underwood,Crawford,Bednar,2:57,N,28369,.92,-,,AL East,AL
5,"Tuesday, Apr 4",boxscore,BOS,,PIT,L,1,4,,2-3,4,3.0,Contreras,Pivetta,Bednar,2:36,N,28842,.84,--,,AL East,AL
6,"Wednesday, Apr 5",boxscore,BOS,,PIT,L,1,4,,2-4,5,4.0,Keller,Kluber,Underwood,2:32,D,24477,.83,---,,AL East,AL
7,"Thursday, Apr 6",boxscore,BOS,@,DET,W,6,3,,3-4,5,3.5,Sale,Turnbull,Jansen,2:32,D,44650,.84,+,,AL East,AL
8,"Saturday, Apr 8",boxscore,BOS,@,DET,W,14,5,,4-4,4,4.0,Houck,Wentz,,2:38,D,21835,.86,++,,AL East,AL
9,"Sunday, Apr 9",boxscore,BOS,@,DET,W,4,1,,5-4,4,4.0,Crawford,Boyd,Jansen,2:38,D,14885,.90,+++,,AL East,AL
10,"Monday, Apr 10",boxscore,BOS,@,TBR,L,0,1,,5-5,4,5.0,Poche,Martin,Fairbanks,2:06,N,13470,1.05,-,,AL East,AL
11,"Tuesday, Apr 11",boxscore,BOS,@,TBR,L,2,7,,5-6,5,6.0,McClanahan,Whitlock,,2:35,N,12649,1.01,--,,AL East,AL
12,"Wednesday, Apr 12",boxscore,BOS,@,TBR,L,7,9,,5-7,5,7.0,Bradley,Sale,Fairbanks,2:44,N,17136,.92,---,,AL East,AL
13,"Thursday, Apr 13",boxscore,BOS,@,TBR,L,3,9,,5-8,5,8.0,Kelly,Kluber,Bristo,2:38,D,21175,.86,----,,AL East,AL
14,"Friday, Apr 14",boxscore,BOS,,LAA,W,5,3,,6-8,5,7.0,Winckowski,Herget,Jansen,2:57,N,36680,.72,+,,AL East,AL
15,"Saturday, Apr 15",boxscore,BOS,,LAA,W,9,7,,7-8,5,6.0,Brasier,Tepera,Jansen,2:59,D,36594,.78,++,,AL East,AL
16,"Sunday, Apr 16",boxscore,BOS,,LAA,W,2,1,,8-8,5,6.0,Whitlock,Detmers,Brasier,1:57,D,34790,.84,+++,,AL East,AL
17,"Monday, Apr 17",boxscore,BOS,,LAA,L,4,5,,8-9,5,6.0,Davidson,Bello,Estévez,3:03,D,34942,.86,-,,AL East,AL
18,"Tuesday, Apr 18",boxscore,BOS,,MIN,W-wo,5,4,10,9-9,5,6.0,Schreiber,Moran,,3:07,N,28132,.85,+,,AL East,AL
19,"Wednesday, Apr 19",boxscore,BOS,,MIN,L,4,10,,9-10,5,7.0,Ryan,Kluber,Headrick,2:37,N,30027,.85,-,,AL East,AL
20,"Thursday, Apr 20",boxscore,BOS,,MIN,W,11,5,,10-10,5,6.5,Houck,Maeda,,2:40,D,34427,.79,+,,AL East,AL
21,"Friday, Apr 21",boxscore,BOS,@,MIL,W,5,3,,11-10,5,6.5,Pivetta,Peralta,Jansen,2:38,N,24976,.83,++,,AL East,AL
22,"Saturday, Apr 22",boxscore,BOS,@,MIL,L,4,5,,11-11,5,7.5,Miley,Whitlock,Williams,2:23,N,31965,.86,-,,AL East,AL
23,"Sunday, Apr 23",boxscore,BOS,@,MIL,W,12,5,,12-11,5,7.5,Ort,Bush,,3:02,D,26939,.79,+,,AL East,AL
24,"Monday, Apr 24",boxscore,BOS,@,BAL,L,4,5,,12-12,5,8.5,Kremer,Sale,Cano,2:29,N,11811,.92,-,,AL East,AL
25,"Tuesday, Apr 25",boxscore,BOS,@,BAL,W,8,6,,13-12,5,7.5,Kluber,Bradish,Jansen,2:44,N,14343,.86,+,,AL East,AL
26,"Wednesday, Apr 26",boxscore,BOS,@,BAL,L,2,6,,13-13,5,7.5,Wells,Houck,,2:37,D,12044,.93,-,,AL East,AL
27,"Friday, Apr 28",boxscore,BOS,,CLE,L,2,5,,13-14,5,9.0,Bieber,Pivetta,Clase,2:25,N,30578,.79,--,,AL East,AL
28,"Saturday, Apr 29",boxscore,BOS,,CLE,W-wo,8,7,10,14-14,5,9.0,Bernardino,Clase,,3:17,D,31717,.75,+,,AL East,AL
