Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,W,L,cum_W,cum_L,WL_perc,Dd,DDD
64,"Sunday, Jun 11",boxscore,SEA,@,LAA,L,4,9,,31-33,4,10,Canning,Gilbert,,02:55:00,D,39405,0.67,-,,0,1,29,35,45.3125,"['Sunday', ' Jun 11']",Jun 11
65,"Monday, Jun 12",boxscore,SEA,,MIA,W,8,1,,32-33,4,9,Miller,Luzardo,,02:14:00,N,23463,0.54,+,,1,0,30,35,46.15384615384615,"['Monday', ' Jun 12']",Jun 12
66,"Tuesday, Jun 13",boxscore,SEA,,MIA,W,9,3,,33-33,4,8,Kirby,Cabrera,,02:47:00,N,19510,0.59,++,,1,0,31,35,46.96969696969697,"['Tuesday', ' Jun 13']",Jun 13
67,"Wednesday, Jun 14",boxscore,SEA,,MIA,L,1,4,,33-34,4,9,Pérez,Castillo,,02:44:00,N,20498,0.63,-,,0,1,31,36,46.26865671641791,"['Wednesday', ' Jun 14']",Jun 14
68,"Friday, Jun 16",boxscore,SEA,,CHW,W,3,2,,34-34,4,7.5,Brash,Banks,Sewald,02:52:00,N,36061,0.56,+,,1,0,32,36,47.05882352941176,"['Friday', ' Jun 16']",Jun 16
69,"Saturday, Jun 17",boxscore,SEA,,CHW,L,3,4,11.0,34-35,4,8.5,Bummer,Saucedo,Scholtens,03:38:00,D,45188,0.66,-,,0,1,32,37,46.3768115942029,"['Saturday', ' Jun 17']",Jun 17
70,"Sunday, Jun 18",boxscore,SEA,,CHW,W,5,1,,35-35,4,8.5,Miller,Lynn,,02:21:00,D,44772,0.62,+,,1,0,33,37,47.14285714285714,"['Sunday', ' Jun 18']",Jun 18
71,"Tuesday, Jun 20",boxscore,SEA,@,NYY,L,1,3,,35-36,4,9,Cole,Kirby,Holmes,02:09:00,N,43130,0.75,-,,0,1,33,38,46.478873239436616,"['Tuesday', ' Jun 20']",Jun 20
72,"Wednesday, Jun 21",boxscore,SEA,@,NYY,L,2,4,,35-37,4,10,Brito,Castillo,Kahnle,02:26:00,N,41090,0.65,--,,0,1,33,39,45.83333333333333,"['Wednesday', ' Jun 21']",Jun 21
73,"Thursday, Jun 22",boxscore,SEA,@,NYY,W,10,2,,36-37,4,9.5,Woo,Germán,,02:56:00,N,42440,0.57,+,,1,0,34,39,46.57534246575342,"['Thursday', ' Jun 22']",Jun 22
74,"Friday, Jun 23",boxscore,SEA,@,BAL,W,13,1,,37-37,4,9.5,Gilbert,Gibson,,02:56:00,N,16234,0.64,++,,1,0,35,39,47.2972972972973,"['Friday', ' Jun 23']",Jun 23
75,"Saturday, Jun 24",boxscore,SEA,@,BAL,L-wo,4,6,10.0,37-38,4,9.5,Baumann,Topa,,03:14:00,D,32884,0.73,-,,0,1,35,40,46.666666666666664,"['Saturday', ' Jun 24']",Jun 24
76,"Sunday, Jun 25",boxscore,SEA,@,BAL,L,2,3,,37-39,4,9.5,Bradish,Kirby,Bautista,02:21:00,D,19143,0.64,--,,0,1,35,41,46.05263157894737,"['Sunday', ' Jun 25']",Jun 25
77,"Monday, Jun 26",boxscore,SEA,,WSN,W,8,4,,38-39,4,8.5,Castillo,Abbott,Sewald,02:42:00,N,23329,0.54,+,,1,0,36,41,46.75324675324675,"['Monday', ' Jun 26']",Jun 26
78,"Tuesday, Jun 27",boxscore,SEA,,WSN,L,4,7,11.0,38-40,4,9.5,Weems,Gott,,03:28:00,N,22671,0.6,-,,0,1,36,42,46.15384615384615,"['Tuesday', ' Jun 27']",Jun 27
79,"Wednesday, Jun 28",boxscore,SEA,,WSN,L,1,4,,38-41,4,10.5,Corbin,Gilbert,Harvey,02:25:00,D,26437,0.56,--,,0,1,36,43,45.56962025316456,"['Wednesday', ' Jun 28']",Jun 28
80,"Friday, Jun 30",boxscore,SEA,,TBR,L,4,15,,38-42,4,10,Kelly,Muñoz,,03:10:00,N,37063,0.46,---,,0,1,36,44,45.0,"['Friday', ' Jun 30']",Jun 30
81,"Saturday, Jul 1",boxscore,SEA,,TBR,W,8,3,,39-42,4,10,Kirby,Glasnow,Sewald,02:39:00,D,35546,0.44,+,,1,0,37,44,45.67901234567901,"['Saturday', ' Jul 1']",Jul 1
82,"Sunday, Jul 2",boxscore,SEA,,TBR,W,7,6,,40-42,4,9,Muñoz,Adam,Sewald,02:42:00,D,36541,0.48,++,,1,0,38,44,46.34146341463415,"['Sunday', ' Jul 2']",Jul 2
83,"Monday, Jul 3",boxscore,SEA,@,SFG,W,6,5,,41-42,4,8,Muñoz,Doval,,02:34:00,N,40691,0.56,+++,,1,0,39,44,46.98795180722892,"['Monday', ' Jul 3']",Jul 3
84,"Tuesday, Jul 4",boxscore,SEA,@,SFG,W,6,0,,42-42,4,8,Gilbert,Winn,,02:20:00,D,37395,0.66,++++,,1,0,40,44,47.61904761904761,"['Tuesday', ' Jul 4']",Jul 4
85,"Wednesday, Jul 5",boxscore,SEA,@,SFG,L,0,2,,42-43,4,8,Cobb,Milone,Doval,02:26:00,N,24108,0.7,-,,0,1,40,45,47.05882352941176,"['Wednesday', ' Jul 5']",Jul 5
86,"Thursday, Jul 6",boxscore,SEA,@,HOU,W,5,1,,43-43,4,7,Kirby,Blanco,,02:30:00,N,40562,0.77,+,,1,0,41,45,47.674418604651166,"['Thursday', ' Jul 6']",Jul 6
87,"Friday, Jul 7",boxscore,SEA,@,HOU,W,10,1,,44-43,3,7,Castillo,Brown,,02:39:00,N,34737,0.91,++,,1,0,42,45,48.275862068965516,"['Friday', ' Jul 7']",Jul 7
88,"Saturday, Jul 8",boxscore,SEA,@,HOU,L,2,3,,44-44,3,7,Neris,Muñoz,Pressly,02:46:00,N,37112,0.96,-,,0,1,42,46,47.72727272727273,"['Saturday', ' Jul 8']",Jul 8
89,"Sunday, Jul 9",boxscore,SEA,@,HOU,W,3,1,,45-44,3,6,Gilbert,Bielak,Sewald,02:28:00,D,39421,0.92,+,,1,0,43,46,48.31460674157304,"['Sunday', ' Jul 9']",Jul 9
90,"Friday, Jul 14",boxscore,SEA,,DET,L,4,5,,45-45,3,7,Rodriguez,Castillo,Lange,02:44:00,N,39014,0.85,-,,0,1,43,47,47.77777777777778,"['Friday', ' Jul 14']",Jul 14
91,"Saturday, Jul 15",boxscore,SEA,,DET,L,0,6,,45-46,3,8,Lorenzen,Kirby,,02:22:00,N,38683,0.74,--,,0,1,43,48,47.25274725274725,"['Saturday', ' Jul 15']",Jul 15
92,"Sunday, Jul 16",boxscore,SEA,,DET,W,2,0,,46-46,3,8,Miller,Olson,Sewald,02:11:00,D,32368,0.63,+,,1,0,44,48,47.82608695652174,"['Sunday', ' Jul 16']",Jul 16
93,"Monday, Jul 17",boxscore,SEA,,MIN,W,7,6,,47-46,3,8,Gilbert,Gray,Sewald,02:58:00,N,25770,0.64,++,,1,0,45,48,48.38709677419355,"['Monday', ' Jul 17']",Jul 17
94,"Tuesday, Jul 18",boxscore,SEA,,MIN,L,3,10,,47-47,3,9,Ober,Woo,,03:02:00,N,28141,0.69,-,,0,1,45,49,47.87234042553192,"['Tuesday', ' Jul 18']",Jul 18
95,"Wednesday, Jul 19",boxscore,SEA,,MIN,L,3,6,,47-48,4,10,Pagán,Muñoz,Duran,02:42:00,N,25825,0.63,--,,0,1,45,50,47.368421052631575,"['Wednesday', ' Jul 19']",Jul 19
96,"Thursday, Jul 20",boxscore,SEA,,MIN,W,5,0,,48-48,4,9.5,Kirby,López,,02:35:00,D,29443,0.55,+,,1,0,46,50,47.91666666666667,"['Thursday', ' Jul 20']",Jul 20
97,"Friday, Jul 21",boxscore,SEA,,TOR,W-wo,3,2,,49-48,4,8.5,Sewald,Romano,,02:57:00,N,42352,0.67,++,,0,1,46,51,47.42268041237113,"['Friday', ' Jul 21']",Jul 21
98,"Saturday, Jul 22",boxscore,SEA,,TOR,W,9,8,,50-48,3,7.5,Campbell,Pearson,Topa,02:54:00,D,44921,0.7,+++,,1,0,47,51,47.95918367346938,"['Saturday', ' Jul 22']",Jul 22
99,"Sunday, Jul 23",boxscore,SEA,,TOR,L,3,4,,50-49,4,8.5,Mayza,Woo,Romano,02:59:00,D,42430,0.8,-,,0,1,47,52,47.474747474747474,"['Sunday', ' Jul 23']",Jul 23
1,"Thursday, Mar 30",boxscore,LAA,@,OAK,L,1,2,,0-1,4,1,May,Loup,Jiménez,02:30:00,N,26805,1.02,-,,0,1,0,1,0.0,"['Thursday', ' Mar 30']",Mar 30
2,"Saturday, Apr 1",boxscore,LAA,@,OAK,W,13,1,,2023-01-01 00:00:00,3,1,Sandoval,Fujinami,Davidson,02:24:00,D,15757,0.93,+,,1,0,1,1,50.0,"['Saturday', ' Apr 1']",Apr 1
3,"Sunday, Apr 2",boxscore,LAA,@,OAK,W,6,0,,2023-02-01 00:00:00,2,1,Anderson,Waldichuk,,02:32:00,D,14638,0.98,++,,1,0,2,1,66.66666666666666,"['Sunday', ' Apr 2']",Apr 2
4,"Monday, Apr 3",boxscore,LAA,@,SEA,W,7,3,,2023-03-01 00:00:00,1,Tied,Tepera,Kirby,,02:49:00,N,18877,1.07,+++,,1,0,3,1,75.0,"['Monday', ' Apr 3']",Apr 3
5,"Tuesday, Apr 4",boxscore,LAA,@,SEA,L,2,11,,2023-03-02 00:00:00,1,Tied,Castillo,Suarez,,02:31:00,N,19255,1.04,-,,0,1,3,2,60.0,"['Tuesday', ' Apr 4']",Apr 4
6,"Wednesday, Apr 5",boxscore,LAA,@,SEA,W,4,3,,2023-04-02 00:00:00,1,Tied,Ohtani,Flexen,Quijada,02:55:00,D,25648,1.07,+,,1,0,4,2,66.66666666666666,"['Wednesday', ' Apr 5']",Apr 5
7,"Friday, Apr 7",boxscore,LAA,,TOR,L,3,4,,2023-04-03 00:00:00,1,Tied,Bassitt,Herget,Romano,02:33:00,N,44735,1.04,-,,0,1,4,3,57.14285714285714,"['Friday', ' Apr 7']",Apr 7
8,"Saturday, Apr 8",boxscore,LAA,,TOR,W,9,5,,2023-05-03 00:00:00,1,up 1.0,Barria,Berríos,,02:40:00,N,44534,1.03,+,,1,0,5,3,62.5,"['Saturday', ' Apr 8']",Apr 8
9,"Sunday, Apr 9",boxscore,LAA,,TOR,L,11,12,10.0,2023-05-04 00:00:00,1,Tied,Romano,Estévez,Mayza,03:31:00,D,31092,1.06,-,,0,1,5,4,55.55555555555556,"['Sunday', ' Apr 9']",Apr 9
10,"Monday, Apr 10",boxscore,LAA,,WSN,L,4,6,,2023-05-05 00:00:00,2,1,Corbin,Davidson,Finnegan,02:40:00,N,19557,0.96,--,,0,1,5,5,50.0,"['Monday', ' Apr 10']",Apr 10
11,"Tuesday, Apr 11",boxscore,LAA,,WSN,W,2,0,,2023-06-05 00:00:00,2,1,Ohtani,Gray,Estévez,02:26:00,N,27390,0.94,+,,1,0,6,5,54.54545454545454,"['Tuesday', ' Apr 11']",Apr 11
12,"Wednesday, Apr 12",boxscore,LAA,,WSN,W,3,2,,2023-07-05 00:00:00,1,Tied,Moore,Thompson,Quijada,02:22:00,D,17780,1.0,++,,1,0,7,5,58.333333333333336,"['Wednesday', ' Apr 12']",Apr 12
13,"Friday, Apr 14",boxscore,LAA,@,BOS,L,3,5,,2023-07-06 00:00:00,2,1,Winckowski,Herget,Jansen,02:57:00,N,36680,1.05,-,,0,1,7,6,53.84615384615385,"['Friday', ' Apr 14']",Apr 14
14,"Saturday, Apr 15",boxscore,LAA,@,BOS,L,7,9,,2023-07-07 00:00:00,2,1,Brasier,Tepera,Jansen,02:59:00,D,36594,0.98,--,,0,1,7,7,50.0,"['Saturday', ' Apr 15']",Apr 15
15,"Sunday, Apr 16",boxscore,LAA,@,BOS,L,1,2,,2023-07-08 00:00:00,3,2,Whitlock,Detmers,Brasier,01:57:00,D,34790,0.96,---,,0,1,7,8,46.666666666666664,"['Sunday', ' Apr 16']",Apr 16
16,"Monday, Apr 17",boxscore,LAA,@,BOS,W,5,4,,2023-08-08 00:00:00,2,2,Davidson,Bello,Estévez,03:03:00,D,34942,0.96,+,,1,0,8,8,50.0,"['Monday', ' Apr 17']",Apr 17
17,"Tuesday, Apr 18",boxscore,LAA,@,NYY,W,5,2,,2023-09-08 00:00:00,2,2,Wantz,Schmidt,Quijada,02:45:00,N,37883,0.99,++,,1,0,9,8,52.94117647058824,"['Tuesday', ' Apr 18']",Apr 18
18,"Wednesday, Apr 19",boxscore,LAA,@,NYY,L-wo,2,3,10.0,2023-09-09 00:00:00,2,3,Hamilton,Moore,,03:20:00,N,38131,1.06,-,,0,1,9,9,50.0,"['Wednesday', ' Apr 19']",Apr 19
19,"Thursday, Apr 20",boxscore,LAA,@,NYY,L,3,9,,2023-09-10 00:00:00,2,3.5,Cortes,Sandoval,,02:49:00,D,39315,0.99,--,,0,1,9,10,47.368421052631575,"['Thursday', ' Apr 20']",Apr 20
20,"Friday, Apr 21",boxscore,LAA,,KCR,W,2,0,,2023-10-10 00:00:00,2,2.5,Ohtani,Yarbrough,Quijada,02:03:00,N,44741,0.96,+,,1,0,10,10,50.0,"['Friday', ' Apr 21']",Apr 21
21,"Saturday, Apr 22",boxscore,LAA,,KCR,L,8,11,,2023-10-11 00:00:00,3,3.5,Cuas,Quijada,Barlow,02:40:00,N,44148,0.96,-,,0,1,10,11,47.61904761904761,"['Saturday', ' Apr 22']",Apr 22
22,"Sunday, Apr 23",boxscore,LAA,,KCR,W,4,3,,2023-11-11 00:00:00,3,3.5,Warren,Lyles,Estévez,02:11:00,D,36016,0.92,+,,1,0,11,11,50.0,"['Sunday', ' Apr 23']",Apr 23
23,"Monday, Apr 24",boxscore,LAA,,OAK,L,10,11,10.0,2023-11-12 00:00:00,3,3.5,Oller,Barria,Familia,03:25:00,N,23814,0.98,-,,0,1,11,12,47.82608695652174,"['Monday', ' Apr 24']",Apr 24
24,"Tuesday, Apr 25",boxscore,LAA,,OAK,W,5,3,,2023-12-12 00:00:00,3,2.5,Canning,Miller,Estévez,02:47:00,N,26971,0.94,+,,1,0,12,12,50.0,"['Tuesday', ' Apr 25']",Apr 25
25,"Wednesday, Apr 26",boxscore,LAA,,OAK,W,11,3,,13-12,3,1.5,Sandoval,Medina,,02:30:00,N,24524,0.95,++,,1,0,13,12,52.0,"['Wednesday', ' Apr 26']",Apr 26
26,"Thursday, Apr 27",boxscore,LAA,,OAK,W,8,7,,14-12,3,0.5,Ohtani,Sears,Estévez,03:03:00,D,21741,1.0,+++,,1,0,14,12,53.84615384615385,"['Thursday', ' Apr 27']",Apr 27
27,"Friday, Apr 28",boxscore,LAA,@,MIL,L,1,2,,14-13,3,1.5,Strzelecki,Loup,Williams,02:14:00,N,24787,1.01,-,,0,1,14,13,51.85185185185185,"['Friday', ' Apr 28']",Apr 28
28,"Saturday, Apr 29",boxscore,LAA,@,MIL,L,5,7,,14-14,3,2.5,Burnes,Detmers,Williams,02:43:00,N,39198,0.97,--,,0,1,14,14,50.0,"['Saturday', ' Apr 29']",Apr 29
29,"Sunday, Apr 30",boxscore,LAA,@,MIL,W,3,0,,15-14,3,2.5,Suarez,Rea,Estévez,02:30:00,D,33557,0.99,+,,1,0,15,14,51.724137931034484,"['Sunday', ' Apr 30']",Apr 30
30,"Tuesday, May 2",boxscore,LAA,@,STL,W,5,1,,16-14,2,2.5,Sandoval,Matz,,02:37:00,N,37048,0.98,++,,1,0,16,14,53.333333333333336,"['Tuesday', ' May 2']",May 2
31,"Wednesday, May 3",boxscore,LAA,@,STL,W,6,4,,17-14,2,1.5,Tepera,Gallegos,Estévez,02:42:00,N,42148,1.05,+++,,1,0,17,14,54.83870967741935,"['Wednesday', ' May 3']",May 3
32,"Thursday, May 4",boxscore,LAA,@,STL,W,11,7,,18-14,2,1,Canning,Flaherty,,02:58:00,D,40508,1.09,++++,,1,0,18,14,56.25,"['Thursday', ' May 4']",May 4
33,"Friday, May 5",boxscore,LAA,,TEX,W-wo,5,4,10.0,19-14,1,Tied,Estévez,Smith,,02:55:00,N,39073,1.32,+++++,,0,1,18,15,54.54545454545454,"['Friday', ' May 5']",May 5
34,"Saturday, May 6",boxscore,LAA,,TEX,L,1,10,,19-15,2,1,Eovaldi,Detmers,,02:48:00,N,37409,1.38,-,,0,1,18,16,52.94117647058824,"['Saturday', ' May 6']",May 6
35,"Sunday, May 7",boxscore,LAA,,TEX,L,8,16,,19-16,2,2,Sborz,Suarez,,03:06:00,D,41641,1.34,--,,0,1,18,17,51.42857142857142,"['Sunday', ' May 7']",May 7
36,"Monday, May 8",boxscore,LAA,,HOU,W,6,4,,20-16,2,2,Moore,Montero,Estévez,02:29:00,N,26064,1.2,+,,1,0,19,17,52.77777777777778,"['Monday', ' May 8']",May 8
37,"Tuesday, May 9",boxscore,LAA,,HOU,L,1,3,,20-17,2,2,Valdez,Ohtani,Pressly,02:16:00,N,29018,1.23,-,,0,1,19,18,51.35135135135135,"['Tuesday', ' May 9']",May 9
38,"Wednesday, May 10",boxscore,LAA,,HOU,L,4,5,,20-18,2,3,Javier,Canning,Pressly,02:38:00,D,20420,1.21,--,,0,1,19,19,50.0,"['Wednesday', ' May 10']",May 10
39,"Friday, May 12",boxscore,LAA,@,CLE,W,5,4,,21-18,2,2.5,Moore,Clase,Estévez,02:53:00,N,22550,1.03,+,,1,0,20,19,51.28205128205128,"['Friday', ' May 12']",May 12
40,"Saturday, May 13",boxscore,LAA,@,CLE,L,6,8,,21-19,2,3.5,Morgan,Tepera,Stephan,02:55:00,N,27644,1.09,-,,0,1,20,20,50.0,"['Saturday', ' May 13']",May 13
41,"Sunday, May 14",boxscore,LAA,@,CLE,L,3,4,,21-20,3,4.5,Karinchak,Sandoval,Clase,02:13:00,D,23175,1.04,--,,0,1,20,21,48.78048780487805,"['Sunday', ' May 14']",May 14
42,"Monday, May 15",boxscore,LAA,@,BAL,W,9,5,,22-20,3,3.5,Ohtani,Rodriguez,,02:51:00,N,20148,0.97,+,,1,0,21,21,50.0,"['Monday', ' May 15']",May 15
43,"Tuesday, May 16",boxscore,LAA,@,BAL,L,3,7,,22-21,3,4.5,Kremer,Silseth,,02:35:00,N,13244,1.06,-,,0,1,21,22,48.837209302325576,"['Tuesday', ' May 16']",May 16
44,"Wednesday, May 17",boxscore,LAA,@,BAL,L,1,3,,22-22,3,4.5,Bradish,Canning,Bautista,02:30:00,N,15702,0.96,--,,0,1,21,23,47.72727272727273,"['Wednesday', ' May 17']",May 17
45,"Thursday, May 18",boxscore,LAA,@,BAL,W,6,5,,23-22,3,4,Devenski,Baker,Estévez,03:05:00,D,27778,0.95,+,,1,0,22,23,48.888888888888886,"['Thursday', ' May 18']",May 18
46,"Friday, May 19",boxscore,LAA,,MIN,W,5,4,,24-22,3,4,Weiss,Jax,Estévez,02:40:00,N,31079,1.04,++,,1,0,23,23,50.0,"['Friday', ' May 19']",May 19
47,"Saturday, May 20",boxscore,LAA,,MIN,L,2,6,,24-23,3,5,Varland,Sandoval,,02:54:00,N,35688,1.04,-,,0,1,23,24,48.93617021276596,"['Saturday', ' May 20']",May 20
48,"Sunday, May 21",boxscore,LAA,,MIN,W,4,2,,25-23,3,5,Devenski,López,Estévez,02:41:00,D,42138,0.94,+,,1,0,24,24,50.0,"['Sunday', ' May 21']",May 21
49,"Monday, May 22",boxscore,LAA,,BOS,W,2,1,,26-23,3,4,Silseth,Crawford,,02:05:00,N,25314,0.99,++,,1,0,25,24,51.02040816326531,"['Monday', ' May 22']",May 22
50,"Tuesday, May 23",boxscore,LAA,,BOS,W,4,0,,27-23,3,4,Canning,Bello,,02:13:00,N,25798,1.05,+++,,1,0,26,24,52.0,"['Tuesday', ' May 23']",May 23
51,"Wednesday, May 24",boxscore,LAA,,BOS,W,7,3,,28-23,3,4,Anderson,Paxton,,02:33:00,N,26596,1.09,++++,,1,0,27,24,52.94117647058824,"['Wednesday', ' May 24']",May 24
52,"Friday, May 26",boxscore,LAA,,MIA,L,2,6,,28-24,3,5,Luzardo,Detmers,,02:42:00,N,32130,1.11,-,,0,1,27,25,51.92307692307693,"['Friday', ' May 26']",May 26
53,"Saturday, May 27",boxscore,LAA,,MIA,L,5,8,10.0,28-25,3,6,Floro,Barria,,03:33:00,N,38131,0.99,--,,0,1,27,26,50.943396226415096,"['Saturday', ' May 27']",May 27
54,"Sunday, May 28",boxscore,LAA,,MIA,L,0,2,,28-26,4,6,Pérez,Sandoval,Chargois,02:48:00,D,36345,0.91,---,,0,1,27,27,50.0,"['Sunday', ' May 28']",May 28
55,"Monday, May 29",boxscore,LAA,@,CHW,W,6,4,,29-26,3,6,Canning,Kopech,Estévez,02:49:00,N,23599,0.86,+,,1,0,28,27,50.90909090909091,"['Monday', ' May 29']",May 29
56,"Tuesday, May 30",boxscore,LAA,@,CHW,L,3,7,,29-27,3,7,Giolito,Anderson,,02:43:00,N,22135,0.94,-,,0,1,28,28,50.0,"['Tuesday', ' May 30']",May 30
57,"Wednesday, May 31",boxscore,LAA,@,CHW,W,12,5,,30-27,3,6,Barria,Lynn,Davidson,02:47:00,D,17015,0.84,+,,1,0,29,28,50.877192982456144,"['Wednesday', ' May 31']",May 31
58,"Thursday, Jun 1",boxscore,LAA,@,HOU,L,2,5,,30-28,3,6.5,Blanco,Detmers,Pressly,02:36:00,N,34037,1.07,-,,0,1,29,29,50.0,"['Thursday', ' Jun 1']",Jun 1
59,"Friday, Jun 2",boxscore,LAA,@,HOU,L,2,6,,30-29,3,7.5,Valdez,Ohtani,,02:36:00,N,38692,1.03,--,,0,1,29,30,49.152542372881356,"['Friday', ' Jun 2']",Jun 2
60,"Saturday, Jun 3",boxscore,LAA,@,HOU,L,6,9,,30-30,3,8.5,Javier,Sandoval,,03:12:00,D,39222,0.91,---,,0,1,29,31,48.333333333333336,"['Saturday', ' Jun 3']",Jun 3
61,"Sunday, Jun 4",boxscore,LAA,@,HOU,W,2,1,,31-30,3,8.5,Devenski,Maton,Estévez,02:20:00,D,40831,0.85,+,,1,0,30,31,49.18032786885246,"['Sunday', ' Jun 4']",Jun 4
62,"Tuesday, Jun 6",boxscore,LAA,,CHC,W,7,4,,32-30,3,9,Anderson,Hughes,Estévez,02:45:00,N,27716,0.77,++,,1,0,31,31,50.0,"['Tuesday', ' Jun 6']",Jun 6
63,"Wednesday, Jun 7",boxscore,LAA,,CHC,W,6,2,,33-30,3,8,Joyce,Taillon,,02:31:00,N,28817,0.77,+++,,1,0,32,31,50.79365079365079,"['Wednesday', ' Jun 7']",Jun 7
64,"Thursday, Jun 8",boxscore,LAA,,CHC,W,3,1,,34-30,3,7.5,Detmers,Smyly,Estévez,02:37:00,N,28179,0.86,++++,,1,0,33,31,51.5625,"['Thursday', ' Jun 8']",Jun 8
65,"Friday, Jun 9",boxscore,LAA,,SEA,W,5,4,,35-30,3,6.5,Webb,Castillo,Estévez,02:50:00,N,36064,0.98,+++++,,1,0,34,31,52.307692307692314,"['Friday', ' Jun 9']",Jun 9
66,"Saturday, Jun 10",boxscore,LAA,,SEA,L,2,6,,35-31,3,7.5,Speier,Sandoval,,03:02:00,N,38454,1.11,-,,0,1,34,32,51.515151515151516,"['Saturday', ' Jun 10']",Jun 10
67,"Sunday, Jun 11",boxscore,LAA,,SEA,W,9,4,,36-31,3,6.5,Canning,Gilbert,,02:55:00,D,39405,1.0,+,,1,0,35,32,52.23880597014925,"['Sunday', ' Jun 11']",Jun 11
68,"Monday, Jun 12",boxscore,LAA,@,TEX,W,9,6,12.0,37-31,3,5.5,Bachman,Ragans,,03:49:00,N,26667,1.25,++,,1,0,36,32,52.94117647058824,"['Monday', ' Jun 12']",Jun 12
69,"Tuesday, Jun 13",boxscore,LAA,@,TEX,W,7,3,,38-31,3,4.5,Herget,White,Estévez,02:55:00,N,25832,1.39,+++,,1,0,37,32,53.62318840579711,"['Tuesday', ' Jun 13']",Jun 13
70,"Wednesday, Jun 14",boxscore,LAA,@,TEX,L,3,6,,38-32,3,5.5,Sborz,Herget,,02:39:00,N,25406,1.46,-,,0,1,37,33,52.85714285714286,"['Wednesday', ' Jun 14']",Jun 14
71,"Thursday, Jun 15",boxscore,LAA,@,TEX,W,5,3,,39-32,3,4.5,Ohtani,Eovaldi,Webb,02:47:00,N,35092,1.34,+,,1,0,38,33,53.52112676056338,"['Thursday', ' Jun 15']",Jun 15
72,"Friday, Jun 16",boxscore,LAA,@,KCR,W,3,0,,40-32,2,3.5,Sandoval,Singer,Bachman,02:41:00,N,19834,1.14,++,,1,0,39,33,54.166666666666664,"['Friday', ' Jun 16']",Jun 16
73,"Saturday, Jun 17",boxscore,LAA,@,KCR,L-wo,9,10,,40-33,2,4.5,Chapman,Devenski,,03:13:00,D,21056,1.28,-,,0,1,39,34,53.42465753424658,"['Saturday', ' Jun 17']",Jun 17
74,"Sunday, Jun 18",boxscore,LAA,@,KCR,W,5,2,,41-33,2,4.5,Anderson,Greinke,Estévez,02:31:00,D,24385,1.21,+,,1,0,40,34,54.054054054054056,"['Sunday', ' Jun 18']",Jun 18
75,"Tuesday, Jun 20",boxscore,LAA,,LAD,L,0,2,,41-34,2,5,Kershaw,Devenski,Phillips,02:25:00,N,44703,1.28,-,,0,1,40,35,53.333333333333336,"['Tuesday', ' Jun 20']",Jun 20
76,"Wednesday, Jun 21",boxscore,LAA,,LAD,L,0,2,,41-35,3,6,González,Ohtani,Phillips,02:30:00,N,44760,1.2,--,,0,1,40,36,52.63157894736842,"['Wednesday', ' Jun 21']",Jun 21
77,"Friday, Jun 23",boxscore,LAA,@,COL,L,4,7,,41-36,3,7,Johnson,Bachman,Lawrence,02:47:00,N,47085,1.16,---,,0,1,40,37,51.94805194805194,"['Friday', ' Jun 23']",Jun 23
78,"Saturday, Jun 24",boxscore,LAA,@,COL,W,25,1,,42-36,2,6,Canning,Anderson,,02:53:00,N,45274,1.07,+,,1,0,41,37,52.56410256410257,"['Saturday', ' Jun 24']",Jun 24
79,"Sunday, Jun 25",boxscore,LAA,@,COL,L,3,4,,42-37,3,6,Gomber,Anderson,Lawrence,02:14:00,D,40213,1.16,-,,0,1,41,38,51.89873417721519,"['Sunday', ' Jun 25']",Jun 25
80,"Monday, Jun 26",boxscore,LAA,,CHW,W-wo,2,1,,43-37,2,5,Estévez,López,,02:17:00,N,28554,1.15,+,,0,1,41,39,51.24999999999999,"['Monday', ' Jun 26']",Jun 26
81,"Tuesday, Jun 27",boxscore,LAA,,CHW,W,4,2,,44-37,2,5,Ohtani,Kopech,Estévez,02:54:00,N,33637,1.23,++,,1,0,42,39,51.85185185185185,"['Tuesday', ' Jun 27']",Jun 27
82,"Wednesday, Jun 28",boxscore,LAA,,CHW,L,5,11,,44-38,2,6,Giolito,Barria,,02:45:00,N,29861,1.25,-,,0,1,42,40,51.21951219512195,"['Wednesday', ' Jun 28']",Jun 28
83,"Thursday, Jun 29",boxscore,LAA,,CHW,L,7,9,,44-39,3,6,Lynn,Sandoval,,02:51:00,D,27630,1.2,--,,0,1,42,41,50.602409638554214,"['Thursday', ' Jun 29']",Jun 29
84,"Friday, Jun 30",boxscore,LAA,,ARI,L,2,6,,44-40,3,6,Henry,Canning,,02:47:00,N,34957,1.11,---,,0,1,42,42,50.0,"['Friday', ' Jun 30']",Jun 30
85,"Saturday, Jul 1",boxscore,LAA,,ARI,L,1,3,,44-41,3,7,Nelson,Bachman,McGough,02:40:00,N,44472,1.07,----,,0,1,42,43,49.411764705882355,"['Saturday', ' Jul 1']",Jul 1
86,"Sunday, Jul 2",boxscore,LAA,,ARI,W,5,2,,45-41,3,6,Detmers,Gallen,Estévez,02:21:00,D,29167,1.03,+,,1,0,43,43,50.0,"['Sunday', ' Jul 2']",Jul 2
